fecha,usd,eur
2020-03-27,77893.4605,86238.96585797
2020-03-30,80270.0977,88447.21255269
2020-03-31,80945.7245,89146.33584909
2020-04-01,83375.719,91215.53785757
2020-04-02,84693.3211,92009.97710982
2020-04-03,86657.8789,93500.38501794
2020-04-06,91832.0611,99219.95041549
2020-04-07,96632.4324,105212.42607279
2020-04-08,100980.1296,109837.09676721
2020-04-13,105906.6942,115509.25416311
2020-04-14,113833.9692,124709.66661736
2020-04-15,120860.4093,131911.88512639
2020-04-16,125975.0892,136588.4904651
2020-04-17,125574.0328,136617.01324443
2020-04-20,128044.2806,139268.64223739
2020-04-21,129093.0684,140281.56463822
2020-04-22,144957.1901,156988.6368783
2020-04-23,171575.509,185176.29959843
2020-04-24,171072.85,184804.8676695
2020-04-27,170342.6783,184528.81654882
2020-04-28,175659.8426,190431.07876423
2020-04-29,176563.0719,191662.74580888
2020-04-30,176538.0403,193275.61190084
2020-05-04,175414.0816,191466.22420721
2020-05-05,171874.5464,186299.97707935
2020-05-06,169363.8874,182963.80755822
2020-05-07,172952.8257,186733.70685177
2020-05-08,179019.2596,194325.4062958
2020-05-11,179104.5753,193685.47877517
2020-05-12,178532.4412,194068.33423322
2020-05-13,179041.3439,194161.38539235
2020-05-14,181675.8766,196175.42831144
2020-05-15,183048.2988,197944.76935634
2020-05-18,183337.6012,199210.97071189
2020-05-19,182834.2246,199940.19465357
2020-05-20,183533.8341,201777.09720954
2020-05-21,188129.9074,206103.83875299
2020-05-22,193404.5883,210679.48612695
2020-05-26,193464.324,212359.98452508
2020-05-27,196049.7566,215074.42498046
2020-05-28,197214.9547,218030.99316858
2020-05-29,198110.5907,220372.27777695
2020-06-01,197794.7422,220040.71685523
2020-06-02,197189.0396,220398.18956092
2020-06-03,197515.0101,221777.75394068
2020-06-04,198651.705,224857.8379236
2020-06-05,199030.9333,224690.00122103
2020-06-08,198185.1028,224050.24056642
2020-06-09,197893.7068,224846.82966616
2020-06-10,201166.3025,228329.78832657
2020-06-11,202465.5508,230470.58578665
2020-06-12,203257.5093,228451.27757773
2020-06-15,203505.2067,229234.36998308
2020-06-16,203639.6436,228805.43075608
2020-06-17,203457.8587,228304.13240444
2020-06-18,202883.1937,227817.53820573
2020-06-19,202838.8912,227205.92719985
2020-06-22,201738.5731,226986.15552346
2020-06-23,201961.3987,228909.10812854
2020-06-25,202157.017,226741.33183737
2020-06-26,202331.5101,226763.03994457
2020-06-30,204417.6916,229622.39297428
2020-07-01,205028.1744,230978.5904338
2020-07-02,205733.5651,231277.44454281
2020-07-03,206970.5603,232723.90711812
2020-07-06,207722.2482,235097.96329027
2020-07-07,208216.7508,235164.16268853
2020-07-08,211675.0087,239709.24685222
2020-07-09,214006.5087,242069.18218583
2020-07-10,215992.7214,244600.95734943
2020-07-13,216906.4285,246436.06967599
2020-07-14,219799.4497,250534.00675155
2020-07-15,220983.8278,252339.22312654
2020-07-16,223823.8224,255691.85823331
2020-07-17,226660.2504,259156.53049984
2020-07-20,228860.1363,261845.74774491
2020-07-21,231749.7018,266380.05973997
2020-07-22,237210.1853,274668.04566072
2020-07-23,241970.7809,280536.08395984
2020-07-27,245056.0363,288293.72334477
2020-07-28,249580.4825,292408.493297
2020-07-29,249681.5473,294049.95825521
2020-07-30,258364.812,304423.50703524
2020-07-31,259096.0901,306313.76155982
2020-08-03,262561.2438,308218.01848438
2020-08-04,263070.17,309170.5865908
2020-08-05,265597.9061,315902.14951534
2020-08-06,271032.2178,320734.10590016
2020-08-07,278038.6477,327760.29906819
2020-08-10,284601.2685,334699.62979405
2020-08-11,284125.3128,334446.74695
2020-08-12,284003.0154,334902.03581998
2020-08-13,287367.7348,340105.46149049
2020-08-14,294657.389,348500.13369197
2020-08-17,290276.4417,344485.56718747
2020-08-18,292528.1327,348907.07971527
2020-08-19,296769.194,353214.6946988
2020-08-20,303537.9987,359009.56796242
2020-08-21,305452.4579,359972.66711057
2020-08-24,306257.2548,361426.43667967
2020-08-25,307991.1414,363792.97639885
2020-08-26,312841.7632,369807.11986108
2020-08-27,316590.0479,373047.551142
2020-08-28,324611.6956,386395.03962354
2020-08-31,327748.8903,392007.33773221
2020-09-01,329553.2983,393895.28426009
2020-09-02,335021.059,396473.97185237
2020-09-03,338778.0548,400618.60092319
2020-09-04,349431.4293,412192.80831657
2020-09-07,355743.3116,420666.465967
2020-09-08,358855.3782,423219.67883395
2020-09-09,360514.3485,426066.67248775
2020-09-10,360855.2448,428699.63937484
2020-09-11,363164.9761,429845.69736172
2020-09-15,365927.067,433645.53001902
2020-09-16,366226.7552,433103.42296707
2020-09-17,369326.4749,436089.62176767
2020-09-18,374236.2513,444192.2337555
2020-09-21,375312.2028,441881.32821063
2020-09-22,386868.1398,453746.03512722
2020-09-23,392128.5047,458115.88947091
2020-09-24,399396.5381,464753.78759468
2020-09-25,414379.0515,482055.43819098
2020-09-28,421193.8705,490956.21127091
2020-09-29,430670.1647,505279.46403262
2020-09-30,436677.4493,512921.33194778
2020-10-01,437053.744,512497.96128928
2020-10-02,438517.6017,513758.45179968
2020-10-05,437770.2168,516258.03897007
2020-10-06,440722.8385,519599.00490634
2020-10-07,441688.4018,519717.07486198
2020-10-08,450104.4808,528643.21165479
2020-10-09,452306.1102,534146.37777958
2020-10-13,452892.8548,532244.2118895
2020-10-14,450719.557,530451.8466333
2020-10-15,450854.1421,527319.00460016
2020-10-16,452844.1506,531190.7170953
2020-10-19,455306.54,536442.165428
2020-10-20,456920.3276,540308.287387
2020-10-21,457242.119,542819.55399204
2020-10-22,459954.3903,543666.0893346
2020-10-23,462415.9712,547555.99981734
2020-10-26,464291.4828,548708.96020269
2020-10-27,471188.8047,557501.16994494
2020-10-28,488217.0001,573264.40151742
2020-10-29,506541.7814,591225.43641445
2020-10-30,519082.4134,606179.25154438
2020-11-02,515919.2608,600705.43211987
2020-11-03,517231.5747,605481.62597531
2020-11-04,518286.9207,605442.04928491
2020-11-05,527480.2994,622811.81391056
2020-11-06,535345.9772,636558.48764943
2020-11-09,535719.2516,637216.62100813
2020-11-10,548442.839,647661.63300349
2020-11-11,571622.1589,671730.34758815
2020-11-12,607475.8235,717586.89126761
2020-11-13,646322.8816,764108.76354278
2020-11-16,666713.2056,788241.68871676
2020-11-17,670975.4299,796461.25479989
2020-11-18,681155.9399,808457.17350791
2020-11-19,710701.5211,840852.29065904
2020-11-20,782025.1639,927786.83419932
2020-11-24,917739.5205,1088035.26592398
2020-11-25,925505.887,1101352.00553
2020-11-26,974184.2628,1159308.49825988
2020-11-27,1035887.0272,1236641.93307136
2020-11-30,1050811.9756,1260816.74892366
2020-12-01,1039923.6038,1247128.38185715
2020-12-02,1010404.149,1222548.60412404
2020-12-03,1029051.9204,1250061.40134431
2020-12-04,1086140.7152,1319443.74082496
2020-12-07,1084295.2894,1317266.97528048
2020-12-08,1081303.5426,1309350.45973434
2020-12-09,1079923.2073,1306415.50156703
2020-12-10,1084350.9177,1316293.57899603
2020-12-11,1103443.685,1337263.4018515
2020-12-15,1087525.5278,1321474.01934033
2020-12-16,1075442.1643,1311329.64861756
2020-12-17,1050531.3368,1287110.99384736
2020-12-18,1062380.477,1303254.00255021
2020-12-21,1069360.3303,1305838.67374254
2020-12-22,1063464.9046,1301468.35024948
2020-12-23,1037851.2511,1264248.12301495
2020-12-28,1036631.0175,1265788.67022855
2020-12-29,1089058.0735,1334455.52920175
2020-12-30,1107198.5835,1359495.92472214
2021-01-04,1114769.093,1367710.2002017
2021-01-05,1174992.6146,1441069.69217617
2021-01-06,1231206.1135,1515565.47747396
2021-01-07,1317659.5773,1614580.98644878
2021-01-08,1468241.1492,1794822.02801655
2021-01-12,1504750.2229,1827699.71573879
2021-01-13,1495567.5709,1820659.09378653
2021-01-14,1500315.9749,1817302.73407687
2021-01-15,1548933.3151,1876857.98723982
2021-01-19,1555320.5463,1885483.99186856
2021-01-20,1561382.1279,1889693.94793353
2021-01-21,1651774.351,2005187.99113996
2021-01-22,1738760.9965,2114542.02306358
2021-01-25,1732056.0111,2100291.11905986
2021-01-26,1786690.2584,2175313.25650458
2021-01-27,1823711.0624,2203225.33448544
2021-01-28,1823627.3195,2213755.91196063
2021-01-29,1821534.6745,2211507.0329637
2021-02-01,1805260.6523,2184365.389283
2021-02-02,1790207.3487,2153619.4404861
2021-02-03,1789925.2137,2152939.94629049
2021-02-04,1828405.5004,2188948.78102387
2021-02-05,1837423.4604,2205055.14635683
2021-02-08,1812462.9241,2185413.41999205
2021-02-09,1803816.6228,2181463.67094941
2021-02-10,1788247.0795,2169608.65167417
2021-02-11,1768156.5739,2147249.34334416
2021-02-12,1728295.9767,2088766.66856031
2021-02-17,1721287.1009,2071259.19425498
2021-02-18,1720426.0475,2076674.66915583
2021-02-19,1757608.7767,2132506.72877011
2021-02-22,1803699.7156,2191062.26652226
2021-02-23,1829671.7944,2223929.47265731
2021-02-24,1872651.3781,2270571.06943246
2021-02-25,1871361.1346,2289198.64873348
2021-02-26,1865613.8866,2263903.79525023
2021-03-01,1865857.9973,2246716.93170887
2021-03-02,1863252.9372,2242816.19303701
2021-03-03,1865046.2874,2248201.39668345
2021-03-04,1874605.3587,2257306.0426786
2021-03-05,1889184.9082,2251908.4105744
2021-03-08,1888035.8474,2241816.00448581
2021-03-09,1881868.7399,2236789.18424514
2021-03-10,1874468.1221,2231141.91637318
2021-03-11,1858754.101,2218051.2687233
2021-03-12,1848567.5699,2203769.82845628
2021-03-15,1827284.7922,2180042.12133421
2021-03-16,1822320.2778,2166702.36389864
2021-03-17,1804479.6607,2148287.17045317
2021-03-18,1804994.4562,2152130.99001638
2021-03-22,1821810.808,2172327.2074592
2021-03-23,1827910.5729,2171192.17849062
2021-03-24,1845928.6599,2183327.50035652
2021-03-25,1852972.1242,2184320.59944944
2021-03-26,1890076.7446,2228060.26806937
2021-03-29,1931176.1948,2274867.62218855
2021-03-30,1968064.2251,2307535.62328749
2021-03-31,1987184.7478,2331464.50535635
2021-04-05,2070854.9672,2446280.26420368
2021-04-06,2078720.571,2462431.60120089
2021-04-07,2109981.3964,2509379.77492455
2021-04-08,2142514.41,2548970.8187211
2021-04-09,2235823.8067,2657231.87778681
2021-04-12,2290488.2879,2728910.65108693
2021-04-13,2334983.5488,2785448.57503449
2021-04-14,2315163.0203,2772199.35213742
2021-04-15,2381793.6473,2852626.61549826
2021-04-16,2363585.2091,2834175.02423181
2021-04-20,2467460.6985,2969638.29985872
